================================================================================
    EXHAUSTIVE SYSTEM SENSOR LOG (GLOBAL DISCOVERY)
    Date: Sunday 5 April, 2026
================================================================================

SECTION 1: IOREPORT CHANNELS (Power, Frequency, Residency)
--------------------------------------------------------------------------------
Group: Energy Model    | Channel: ECPU0                          | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ISP                            | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: AVE                            | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: MSR                            | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: DCS                            | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: DRAM                           | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: DISP                           | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: DISPEXT                        | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: VDEC                           | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: SOC_AON                        | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: SOC_REST                       | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCIe Port 0 Energy             | Value: -9223372036854775808 uJ
Group: Energy Model    | Channel: apciec0 Energy                 | Value: -9223372036854775808 uJ
Group: Energy Model    | Channel: apciec1 Energy                 | Value: -9223372036854775808 uJ
Group: Energy Model    | Channel: GPU Energy                     | Value: -9223372036854775808 nJ
Group: CPU Stats       | Channel: ECPU                           | Value: -9223372036854775808 24Mticks
Group: CPU Stats       | Channel: ECPU0                          | Value: -9223372036854775808 24Mticks
Group: CPU Stats       | Channel: ECPU1                          | Value: -9223372036854775808 24Mticks
Group: CPU Stats       | Channel: ECPU2                          | Value: -9223372036854775808 24Mticks
Group: CPU Stats       | Channel: ECPU3                          | Value: -9223372036854775808 24Mticks
Group: CPU Stats       | Channel: ECPU                           | Value: -9223372036854775808 24Mticks
Group: CPU Stats       | Channel: PCPU                           | Value: -9223372036854775808 24Mticks
Group: CPU Stats       | Channel: PCPU0                          | Value: -9223372036854775808 24Mticks
Group: CPU Stats       | Channel: PCPU1                          | Value: -9223372036854775808 24Mticks
Group: CPU Stats       | Channel: PCPU2                          | Value: -9223372036854775808 24Mticks
Group: CPU Stats       | Channel: PCPU3                          | Value: -9223372036854775808 24Mticks
Group: CPU Stats       | Channel: PCPU                           | Value: -9223372036854775808 24Mticks
Group: CPU Stats       | Channel: ECPU                           | Value: -9223372036854775808 24Mticks
Group: CPU Stats       | Channel: ECPM                           | Value: -9223372036854775808 24Mticks
Group: CPU Stats       | Channel: PCPU                           | Value: -9223372036854775808 24Mticks
Group: CPU Stats       | Channel: PCPM                           | Value: -9223372036854775808 24Mticks
Group: GPU Stats       | Channel: GPU Power Zone Filter 0        | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: GPU Power Zone Filter 1        | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: GPU Power Zone Filter 2        | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: GPU Power Zone Filter 3        | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: GPU Power Zone Filter 4        | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: GPU Power Filter               | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: Average Sum                    | Value: -9223372036854775808 
Group: GPU Stats       | Channel: Average Sum Count              | Value: -9223372036854775808 
Group: GPU Stats       | Channel: Min                            | Value: -9223372036854775808 
Group: GPU Stats       | Channel: Max                            | Value: -9223372036854775808 
Group: GPU Stats       | Channel: Tg11a Latest                   | Value: -9223372036854775808 
Group: GPU Stats       | Channel: Tg11a Sum                      | Value: -9223372036854775808 
Group: GPU Stats       | Channel: Tg11a Sum Count                | Value: -9223372036854775808 
Group: GPU Stats       | Channel: Tg11a Min                      | Value: -9223372036854775808 
Group: GPU Stats       | Channel: Tg11a Max                      | Value: -9223372036854775808 
Group: GPU Stats       | Channel: Tg13a Latest                   | Value: -9223372036854775808 
Group: GPU Stats       | Channel: Tg13a Sum                      | Value: -9223372036854775808 
Group: GPU Stats       | Channel: Tg13a Sum Count                | Value: -9223372036854775808 
Group: GPU Stats       | Channel: Tg13a Min                      | Value: -9223372036854775808 
Group: GPU Stats       | Channel: Tg13a Max                      | Value: -9223372036854775808 
Group: GPU Stats       | Channel: Tg14a Latest                   | Value: -9223372036854775808 
Group: GPU Stats       | Channel: Tg14a Sum                      | Value: -9223372036854775808 
Group: GPU Stats       | Channel: Tg14a Sum Count                | Value: -9223372036854775808 
Group: GPU Stats       | Channel: Tg14a Min                      | Value: -9223372036854775808 
Group: GPU Stats       | Channel: Tg14a Max                      | Value: -9223372036854775808 
Group: GPU Stats       | Channel: GPUPH                          | Value: -9223372036854775808 24Mticks
Group: GPU Stats       | Channel: AFRSTATE                       | Value: -9223372036854775808 24Mticks
Group: GPU Stats       | Channel: BSTGPUPH                       | Value: -9223372036854775808 24Mticks
Group: GPU Stats       | Channel: FENDER                         | Value: -9223372036854775808 24Mticks
Group: GPU Stats       | Channel: GPUDVDH                        | Value: -9223372036854775808 24Mticks
Group: GPU Stats       | Channel: GPU_CLTM                       | Value: -9223372036854775808 24Mticks
Group: GPU Stats       | Channel: GPU Active Time                | Value: -9223372036854775808 24Mticks
Group: GPU Stats       | Channel: GPU Idle Time                  | Value: -9223372036854775808 24Mticks
Group: GPU Stats       | Channel: Fender Active Time             | Value: -9223372036854775808 24Mticks
Group: GPU Stats       | Channel: Fender Idle Time               | Value: -9223372036854775808 24Mticks
Group: GPU Stats       | Channel: UVWarn Instances               | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: UVWarn Active                  | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: TA CtxSwitch Latency Histogram Bucket 0 (<100us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: TA CtxSwitch Latency Histogram Bucket 1 (<200us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: TA CtxSwitch Latency Histogram Bucket 2 (<300us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: TA CtxSwitch Latency Histogram Bucket 3 (<400us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: TA CtxSwitch Latency Histogram Bucket 4 (<500us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: TA CtxSwitch Latency Histogram Bucket 5 (<1000us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: TA CtxSwitch Latency Histogram Bucket 6 (<2000us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: TA CtxSwitch Latency Histogram Bucket 7 (<4000us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: TA CtxSwitch Latency Histogram Bucket 8 (<10000us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: TA CtxSwitch Latency Histogram Bucket 9 (<20000us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: TA CtxSwitch Latency Histogram Bucket 10 (<40000us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: TA CtxSwitch Latency Histogram Bucket Max (>=40000us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: 3D CtxSwitch Latency Histogram Bucket 0 (<100us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: 3D CtxSwitch Latency Histogram Bucket 1 (<200us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: 3D CtxSwitch Latency Histogram Bucket 2 (<300us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: 3D CtxSwitch Latency Histogram Bucket 3 (<400us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: 3D CtxSwitch Latency Histogram Bucket 4 (<500us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: 3D CtxSwitch Latency Histogram Bucket 5 (<1000us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: 3D CtxSwitch Latency Histogram Bucket 6 (<2000us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: 3D CtxSwitch Latency Histogram Bucket 7 (<4000us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: 3D CtxSwitch Latency Histogram Bucket 8 (<10000us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: 3D CtxSwitch Latency Histogram Bucket 9 (<20000us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: 3D CtxSwitch Latency Histogram Bucket 10 (<40000us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: 3D CtxSwitch Latency Histogram Bucket Max (>=40000us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: CL CtxSwitch Latency Histogram Bucket 0 (<100us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: CL CtxSwitch Latency Histogram Bucket 1 (<200us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: CL CtxSwitch Latency Histogram Bucket 2 (<300us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: CL CtxSwitch Latency Histogram Bucket 3 (<400us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: CL CtxSwitch Latency Histogram Bucket 4 (<500us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: CL CtxSwitch Latency Histogram Bucket 5 (<1000us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: CL CtxSwitch Latency Histogram Bucket 6 (<2000us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: CL CtxSwitch Latency Histogram Bucket 7 (<4000us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: CL CtxSwitch Latency Histogram Bucket 8 (<10000us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: CL CtxSwitch Latency Histogram Bucket 9 (<20000us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: CL CtxSwitch Latency Histogram Bucket 10 (<40000us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: CL CtxSwitch Latency Histogram Bucket Max (>=40000us) | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: Total Restarts                 | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: Unknown Restarts               | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: mediaserverd Restarts          | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: 36223                          | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: 41819                          | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: 42822                          | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: DM Kill Count                  | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: GTP Kill Count                 | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: FRG Kill Count                 | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: CDM Kill Count                 | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: Memless Render Failed          | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: GTP Single                     | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: GTP Dependent                  | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: GTP Idle                       | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: GTP Alloc New                  | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: GTP Round robin                | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: FRG Single                     | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: FRG Dependent                  | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: FRG Idle                       | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: FRG Alloc New                  | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: FRG Round robin                | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: CDM Single                     | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: CDM Dependent                  | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: CDM Idle                       | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: CDM Alloc New                  | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: CDM Round robin                | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: Channel 0                      | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: Channel 1                      | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: Channel 2                      | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: Channel 3                      | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: Invalid                        | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: Channel 0                      | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: Channel 1                      | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: Channel 2                      | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: Channel 3                      | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: Invalid                        | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: Channel 0                      | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: Channel 1                      | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: Channel 2                      | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: Channel 3                      | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: Invalid                        | Value: -9223372036854775808 events
Group: GPU Stats       | Channel: PZRSDNCY                       | Value: -9223372036854775808 24Mticks
Group: GPU Stats       | Channel: PWRCTRL                        | Value: -9223372036854775808 24Mticks
Group: GPU Stats       | Channel: AFRCTRL                        | Value: -9223372036854775808 24Mticks
Group: GPU Stats       | Channel: PMU_RC                         | Value: -9223372036854775808 24Mticks
Group: GPU Stats       | Channel: GPU_PPM                        | Value: -9223372036854775808 24Mticks
Group: GPU Stats       | Channel: GPU UT Engagement centi-%      | Value: -9223372036854775808 
Group: GPU Stats       | Channel: Spill Buffer Usage             | Value: -9223372036854775808 KiB
Group: GPU Stats       | Channel: Spill Buffer Metadata Usage    | Value: -9223372036854775808 KiB
Group: GPU Stats       | Channel: Spill Buffer Unused Blocks per Task | Value: -9223372036854775808 
Group: GPU Stats       | Channel: Throttle Counter HWPI          | Value: -9223372036854775808 
Group: GPU Stats       | Channel: Throttle Counter DPE           | Value: -9223372036854775808 
Group: GPU Stats       | Channel: Throttle Counter Misc          | Value: -9223372036854775808 
Group: GPU Stats       | Channel: Throttle Counter IVDM          | Value: -9223372036854775808 
Group: GPU Stats       | Channel: Throttle Counter Total         | Value: -9223372036854775808 
Group: GPU Stats       | Channel: IVDM: Min Active Throttle Percent | Value: -9223372036854775808 
Group: GPU Stats       | Channel: IVDM: Max Throttle Percent        | Value: -9223372036854775808 
Group: AMC Stats       | Channel: PCPU RD                        | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: PCPU WR                        | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: PCPU DCS RD                    | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: PCPU DCS WR                    | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: ECPU RD                        | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: ECPU WR                        | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: ECPU DCS RD                    | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: ECPU DCS WR                    | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: GFX0 RD                        | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: GFX0 WR                        | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: GFX1 RD                        | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: GFX1 WR                        | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: GFX DCS RD                     | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: GFX DCS WR                     | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: SOC0 RD                        | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: SOC0 WR                        | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: ANE RD                         | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: ANE WR                         | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: ANE DCS RD                     | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: ANE DCS WR                     | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: ATC1 RD                        | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: ATC1 WR                        | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: ATC1 NRO RD                    | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: ATC1 NRO WR                    | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: ATC1 DCS RD                    | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: ATC1 DCS WR                    | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: VDEC RD                        | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: VDEC WR                        | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: VDEC DCS RD                    | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: VDEC DCS WR                    | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: DISPDFR RT RD                  | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: DISPDFR RT WR                  | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: DISPDFR NRT RD                 | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: DISPDFR NRT WR                 | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: DISPDFR DCS RD                 | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: DISPDFR DCS WR                 | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: DISPEXT RT RD                  | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: DISPEXT RT WR                  | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: DISPEXT NRT RD                 | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: DISPEXT NRT WR                 | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: DISPEXT DCS RD                 | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: DISPEXT DCS WR                 | Value: -9223372036854775808 B
